,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Include Closing Periods: NO,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allure of Mendota,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
   Drugs Other,0,0,618,0.3,"1,453",0.73,633,0.31,0,0,0,0,364,0.17,719,0.38,329,0.16,693,0.36,420,0.2,"1,008",0.49,"6,238",0.25
   DME Rental,"2,498",1.22,"1,185",0.57,"1,349",0.68,"1,122",0.55,"1,084",0.49,"1,365",0.64,"1,321",0.61,976,0.52,"1,177",0.58,"1,274",0.67,"1,033",0.5,"1,032",0.5,"15,417",0.63
   Oxygen,"6,024",2.95,4,0,145,0.07,203,0.1,326,0.15,992,0.46,"1,354",0.63,410,0.22,"1,306",0.64,761,0.4,"1,221",0.59,"3,144",1.54,"15,892",0.65
   Ambulance Expense,164,0.08,166,0.08,-227,-0.11,"1,415",0.69,593,0.27,740,0.35,187,0.09,472,0.25,548,0.27,486,0.26,641,0.31,"1,514",0.74,"6,697",0.27
   Respiratory Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL Nursing & Medical,"294,063",144.01,"292,411",140.85,"261,950",132.23,"266,279",129.96,"274,080",124.58,"284,615",132.94,"285,927",132.99,"272,234",143.96,"285,786",139.75,"253,652",133.22,"283,801",136.64,"270,671",132.23,"3,325,469",135.17
Therapy & Ancillary Services,,,,,,,,,,,,,,,,,,,,,,,,,,
   Physical Therapy Services,"16,080",7.87,"20,461",9.86,"19,625",9.91,"20,391",9.95,"22,477",10.22,"19,137",8.94,"19,360",9,"18,325",9.69,"25,767",12.6,"22,871",12.01,"21,492",10.35,"22,101",10.8,"248,087",10.08
   Occupational Therapy Services,"14,999",7.35,"19,461",9.37,"16,935",8.55,"19,144",9.34,"20,633",9.38,"18,710",8.74,"20,774",9.66,"19,161",10.13,"21,239",10.39,"16,418",8.62,"17,057",8.21,"18,231",8.91,"222,761",9.05
   Speech Therapy Services,"1,439",0.7,"1,735",0.84,"2,551",1.29,"2,826",1.38,"2,599",1.18,"2,863",1.34,"1,994",0.93,"2,119",1.12,"2,156",1.05,"2,083",1.09,"3,023",1.46,"3,044",1.49,"28,432",1.16
   Pharmacy Consultant,"1,220",0.6,"1,228",0.59,"1,244",0.63,"1,252",0.61,700,0.32,700,0.33,"1,182",0.55,"1,062",0.56,"1,242",0.61,"1,110",0.58,"1,142",0.55,700,0.34,"12,781",0.52
   RX Drugs,"3,364",1.65,"4,492",2.16,"7,493",3.78,"8,814",4.3,0,0,0,0,"4,945",2.3,"4,755",2.51,"4,393",2.15,"3,389",1.78,"4,090",1.97,"4,382",2.14,"50,116",2.04
   Drugs Managed Care,"2,647",1.3,"1,491",0.72,"3,474",1.75,"3,682",1.8,0,0,0,0,"1,577",0.73,"4,088",2.16,"2,678",1.31,"4,231",2.22,"2,929",1.41,"3,901",1.91,"30,698",1.25
   VA - Drugs,925,,690,,"1,050",,739,,0,,0,,693,,407,,473,,782,,644,,415,,"6,818",
   Radiology,622,0.3,643,0.31,669,0.34,404,0.2,340,0.15,471,0.22,144,0.07,619,0.33,308,0.15,664,0.35,-361,-0.17,"1,039",0.51,"5,562",0.23
   Laboratory,0,0,"2,601",1.25,491,0.25,512,0.25,636,0.29,"1,329",0.62,"1,091",0.51,"1,148",0.61,"1,042",0.51,"1,136",0.6,988,0.48,0,0,"10,973",0.45
TOTAL Therapy & Ancillary Services,"41,295",20.22,"52,801",25.43,"53,532",27.02,"57,764",28.19,"47,385",21.54,"43,210",20.18,"51,760",24.07,"51,683",27.33,"59,297",29,"52,683",27.67,"51,004",24.56,"53,814",26.29,"616,228",25.05
Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Social Services,"4,403",2.16,"4,467",2.15,"4,125",2.08,"4,321",2.11,"4,260",1.94,"4,321",2.02,"4,535",2.11,"4,019",2.13,"4,441",2.17,"4,414",2.32,"4,532",2.18,"4,325",2.11,"52,164",2.12
   Payroll Admissions,"12,340",6.04,"1,731",0.83,"6,327",3.19,"7,247",3.54,793,0.36,"-1,009",-0.47,633,0.29,289,0.15,796,0.39,"5,293",2.78,"5,223",2.51,"4,632",2.26,"44,294",1.8
   Social Service Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Social Service Consultant,175,0.09,0,0,210,0.11,910,0.44,0,0,"1,330",0.62,280,0.13,280,0.15,"1,284",0.63,280,0.15,0,0,296,0.14,"5,044",0.21
TOTAL Social Services,"16,918",8.29,"6,197",2.99,"10,661",5.38,"12,478",6.09,"5,053",2.3,"4,641",2.17,"5,448",2.53,"4,588",2.43,"6,521",3.19,"9,987",5.25,"9,755",4.7,"9,253",4.52,"101,502",4.13
Leisure Time & Activities,,,,,,,,,,,,,,,,,,,,,,,,,,
