,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Allure of Walnut, Allure of Walnut ILF",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
   Social Service Consultant,175,0.12,0,0,0,0,420,0.28,210,0.14,0,0,0,0,0,0,0,0,"1,260",0.85,0,0,280,0.18,"2,345",0.13
TOTAL Social Services,"3,630",2.48,"12,289",8.32,"5,129",3.65,"8,015",5.38,"9,080",5.96,"7,203",4.69,"6,562",4.5,"6,590",4.8,"7,087",4.61,"8,652",5.81,"7,241",4.71,"7,064",4.52,"88,540",4.96
Leisure Time & Activities,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Activity,"4,851",3.32,"4,960",3.36,"4,868",3.46,"4,958",3.33,"4,625",3.03,"4,982",3.24,"4,803",3.29,"4,536",3.3,"5,057",3.29,"4,812",3.23,"6,190",4.03,"4,804",3.08,"59,445",3.33
   Activity Supplies,347,0.24,563,0.38,452,0.32,667,0.45,584,0.38,803,0.52,473,0.32,299,0.22,250,0.16,324,0.22,708,0.46,979,0.63,"6,450",0.36
TOTAL Leisure Time & Activities,"5,198",3.56,"5,523",3.74,"5,320",3.79,"5,625",3.77,"5,209",3.42,"5,785",3.77,"5,276",3.62,"4,835",3.52,"5,307",3.45,"5,136",3.45,"6,898",4.49,"5,783",3.7,"65,895",3.69
House & Plant Costs,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Housekeeping,"3,540",2.42,"2,418",1.64,"3,596",2.56,"5,938",3.98,"7,979",5.24,"7,012",4.56,"9,381",6.43,"6,587",4.8,"7,118",4.63,"6,943",4.66,"8,160",5.31,"8,140",5.21,"76,812",4.3
   Payroll Laundry,"10,667",7.3,"10,819",7.32,"9,776",6.96,"7,829",5.25,"5,656",3.71,"5,636",3.67,"4,760",3.26,"5,051",3.68,"5,874",3.82,"6,037",4.05,"6,807",4.43,"4,775",3.06,"83,687",4.69
   Payroll Maintenance,"5,031",3.44,"5,031",3.41,"4,936",3.51,"5,031",3.37,"4,869",3.19,"5,044",3.28,"5,132",3.52,"4,635",3.38,"5,132",3.34,"4,966",3.34,"5,132",3.34,"4,966",3.18,"59,905",3.36
   Payroll Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Housekeeping Supplies,"1,010",0.69,727,0.49,"2,049",1.46,"1,297",0.87,859,0.56,"1,503",0.98,"1,385",0.95,820,0.6,"1,332",0.87,"1,588",1.07,876,0.57,"1,388",0.89,"14,833",0.83
   Covid-19 Housekeeping Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Laundry Supplies,195,0.13,192,0.13,187,0.13,199,0.13,202,0.13,264,0.17,191,0.13,181,0.13,203,0.13,272,0.18,203,0.13,531,0.34,"2,820",0.16
   Linen Replacement,316,0.22,184,0.12,155,0.11,168,0.11,"2,724",1.79,0,0,381,0.26,0,0,0,0,556,0.37,163,0.11,0,0,"4,647",0.26
   Maintenance Supplies,"1,551",1.06,448,0.3,677,0.48,"1,389",0.93,"4,174",2.74,412,0.27,179,0.12,828,0.6,294,0.19,"2,633",1.77,708,0.46,616,0.39,"13,910",0.78
   Maintenance Services,"1,559",1.07,"2,904",1.97,"1,149",0.82,919,0.62,"4,702",3.09,"3,807",2.48,"2,380",1.63,"7,009",5.1,"2,590",1.68,"4,657",3.13,"1,948",1.27,"9,254",5.92,"42,877",2.4
   Lawn & Snow Removal Services,"1,782",1.22,"1,400",0.95,550,0.39,"1,480",0.99,398,0.26,431,0.28,963,0.66,0,0,0,0,"1,420",0.95,"1,065",0.69,"1,240",0.79,"10,729",0.6
   Scavenger,489,0.33,449,0.3,498,0.35,413,0.28,449,0.29,373,0.24,449,0.31,448,0.33,373,0.24,449,0.3,560,0.36,373,0.24,"5,320",0.3
   Exterminator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Electric & Gas,"5,770",3.95,"4,439",3.01,"6,007",4.28,"5,152",3.46,"3,480",2.28,"6,152",4.01,"8,860",6.07,"6,488",4.73,"2,674",1.74,"4,239",2.85,"4,519",2.94,"3,547",2.27,"61,327",3.44
   Water & Sewer,"3,042",2.08,"6,400",4.33,48,0.03,"2,736",1.84,"2,631",1.73,"2,420",1.58,"2,622",1.8,0,0,"5,200",3.38,"2,727",1.83,"2,754",1.79,"3,325",2.13,"33,906",1.9
TOTAL House & Plant Costs,"34,953",23.91,"35,411",23.98,"29,628",21.09,"32,552",21.83,"38,121",25.01,"33,052",21.52,"36,683",25.14,"32,047",23.34,"30,790",20.02,"36,487",24.5,"32,894",21.4,"38,154",24.43,"410,773",23.01
Food & Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Dietary,"21,186",14.49,"23,432",15.86,"22,649",16.12,"22,518",15.1,"23,335",15.31,"24,485",15.94,"23,455",16.08,"20,226",14.73,"22,076",14.35,"21,341",14.33,"23,315",15.17,"22,184",14.2,"270,200",15.13
   Food,"10,194",6.97,"9,213",6.24,"10,610",7.55,"11,784",7.9,"10,387",6.82,"11,359",7.4,"10,532",7.22,"10,944",7.97,"9,873",6.42,"11,669",7.84,"10,221",6.65,"11,703",7.49,"128,490",7.2
