,Income Statement Trending Detail - GGM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1/1/2026 to 6/30/2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,
,Allure of Mendota,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
   Payroll Maintenance,"9,430",4.39,"8,285",4.38,"9,880",4.83,"9,256",4.86,"8,829",4.25,"8,730",4.26,"54,410",4.49
   Payroll Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Housekeeping Supplies,"1,277",0.59,"1,702",0.9,"1,042",0.51,"1,192",0.63,"1,913",0.92,"1,557",0.76,"8,683",0.72
   Covid-19 Housekeeping Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Laundry Supplies,323,0.15,324,0.17,342,0.17,286,0.15,388,0.19,307,0.15,"1,970",0.16
   Linen Replacement,460,0.21,697,0.37,640,0.31,108,0.06,582,0.28,536,0.26,"3,023",0.25
   Maintenance Supplies,854,0.4,"2,678",1.42,"1,894",0.93,"1,070",0.56,"4,088",1.97,"1,824",0.89,"12,409",1.02
   Maintenance Services,"1,273",0.59,"2,757",1.46,995,0.49,"4,591",2.41,"2,919",1.41,"4,123",2.01,"16,658",1.38
   Lawn & Snow Removal Services,0,0,"2,875",1.52,500,0.24,"1,250",0.66,900,0.43,"1,070",0.52,"6,595",0.54
   Scavenger,717,0.33,624,0.33,474,0.23,850,0.45,574,0.28,574,0.28,"3,813",0.31
   Exterminator,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Electric & Gas,"7,584",3.53,"8,787",4.65,"4,003",1.96,"6,614",3.47,"3,215",1.55,"5,189",2.53,"35,393",2.92
   Water & Sewer,"4,055",1.89,"2,572",1.36,"1,949",0.95,"2,222",1.17,"2,636",1.27,"1,892",0.92,"15,326",1.27
TOTAL House & Plant Costs,"43,549",20.26,"45,201",23.9,"37,185",18.18,"43,125",22.65,"42,336",20.38,"39,346",19.22,"250,742",20.7
Food & Nutrition,,,,,,,,,,,,,,
   Payroll Dietary,"27,847",12.95,"24,099",12.74,"26,738",13.07,"26,402",13.87,"29,232",14.07,"26,338",12.87,"160,656",13.26
   Food,"16,671",7.75,"14,894",7.88,"16,440",8.04,"16,780",8.81,"15,058",7.25,"15,955",7.79,"95,798",7.91
   Food Supplements,496,0.23,322,0.17,922,0.45,873,0.46,451,0.22,"1,367",0.67,"4,431",0.37
   Dietary Supplies,"3,425",1.59,"1,960",1.04,"1,845",0.9,"2,062",1.08,"1,729",0.83,"1,725",0.84,"12,747",1.05
   Covid-19 Dietary Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Dietary Consultant,155,0.07,153,0.08,144,0.07,158,0.08,153,0.07,152,0.07,916,0.08
TOTAL Food & Nutrition,"48,593",22.6,"41,428",21.91,"46,090",22.54,"46,275",24.3,"46,623",22.45,"45,538",22.25,"274,547",22.66
Employee Welfare Costs,,,,,,,,,,,,,,
   Payroll Taxes,"28,130",13.08,"23,161",12.25,"20,396",9.97,"23,100",12.13,"25,075",12.07,"24,908",12.17,"144,770",11.95
   Workmans Comp Insurance,"3,055",1.42,"1,633",0.86,"2,671",1.31,"1,633",0.86,"1,617",0.78,"1,633",0.8,"12,242",1.01
   Employee Benefits,"1,436",0.67,40,0.02,140,0.07,868,0.46,"6,862",3.3,"-6,523",-3.19,"2,823",0.23
   Employee Insurance,"13,930",6.48,"15,651",8.28,"11,782",5.76,"14,326",7.52,"13,336",6.42,"14,403",7.04,"83,427",6.89
   Education & Seminars,0,0,0,0,0,0,0,0,600,0.29,0,0,600,0.05
   Pension,"2,399",1.12,-386,-0.2,"5,471",2.68,"2,321",1.22,"-4,227",-2.04,"9,170",4.48,"14,748",1.22
TOTAL Employee Welfare Costs,"48,950",22.77,"40,100",21.21,"40,459",19.78,"42,247",22.19,"43,262",20.83,"43,591",21.3,"258,609",21.35
General & Administrative,,,,,,,,,,,,,,
   Payroll Administrative,"10,093",4.69,"11,090",5.86,"12,002",5.87,"11,414",5.99,"27,769",13.37,"10,930",5.34,"83,298",6.88
   Payroll Office,"8,409",3.91,"7,785",4.12,"8,664",4.24,"8,473",4.45,"10,230",4.93,"10,740",5.25,"54,300",4.48
   Payroll Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Marketing Consultant,850,0.4,850,0.45,"1,311",0.64,850,0.45,850,0.41,"1,302",0.64,"6,013",0.5
   General Insurance,"5,404",2.51,"4,333",2.29,"4,333",2.12,"4,333",2.28,"4,333",2.09,"4,333",2.12,"27,069",2.23
   Office Supplies,577,0.27,"1,152",0.61,689,0.34,754,0.4,"1,123",0.54,818,0.4,"5,113",0.42
   Office Rental Equipment,809,0.38,0,0,874,0.43,"1,051",0.55,802,0.39,963,0.47,"4,499",0.37
   Contributions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Licensing Fee,0,0,0,0,0,0,0,0,"2,035",0.98,0,0,"2,035",0.17
   Telephone & Cable,"1,995",0.93,"1,995",1.05,"1,995",0.98,"1,992",1.05,"1,992",0.96,"1,992",0.97,"11,960",0.99
   Dues & Subscriptions,808,0.38,"2,808",1.48,"3,358",1.64,808,0.42,"1,708",0.82,"3,308",1.62,"12,795",1.06
   Auto & Travel,"1,630",0.76,"1,453",0.77,"1,692",0.83,"1,497",0.79,"1,615",0.78,"1,442",0.7,"9,329",0.77
   Bank Charges,280,0.13,109,0.06,250,0.12,147,0.08,126,0.06,152,0.07,"1,065",0.09
   Interest Charges,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Classified Ads,"1,276",0.59,740,0.39,945,0.46,753,0.4,739,0.36,740,0.36,"5,193",0.43
   Management Fees,"41,784",19.43,"36,701",19.41,"41,379",20.23,"36,114",18.97,"37,832",18.21,"37,542",18.34,"231,352",19.1
   Accounting Fees,"13,457",6.26,"13,457",7.12,"13,815",6.76,"13,725",7.21,"13,679",6.59,"13,642",6.66,"81,777",6.75
   Legal Fees,"8,431",3.92,0,0,553,0.27,0,0,0,0,0,0,"8,984",0.74
   Professional Fees,"5,988",2.79,"3,452",1.83,"7,426",3.63,"3,874",2.03,"3,640",1.75,"3,423",1.67,"27,803",2.3
   IT Services,"8,754",4.07,"8,969",4.74,"8,676",4.24,"12,345",6.48,"6,468",3.11,"8,781",4.29,"53,992",4.46
   Covid-19 Technology Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Promotions,0,0,0,0,"8,352",4.08,141,0.07,"21,743",10.47,"1,783",0.87,"32,019",2.64
   Penalties,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Assessment,"25,747",11.98,"25,690",13.59,"27,014",13.21,"28,090",14.75,"27,379",13.18,"25,037",12.23,"158,957",13.12
   Bad Debt,"16,445",7.65,"14,395",7.61,"14,397",7.04,"14,033",7.37,"14,171",6.82,"14,709",7.19,"88,150",7.28
TOTAL General & Administrative,"152,737",71.04,"134,978",71.38,"157,724",77.13,"140,393",73.74,"178,234",85.81,"141,637",69.19,"905,703",74.76
Capital Costs,,,,,,,,,,,,,,
   Rent,"72,368",33.66,"72,368",38.27,"72,368",35.39,"72,368",38.01,"72,368",34.84,"72,368",35.35,"434,210",35.84
   Real Estate Taxes,"4,061",1.89,"4,061",2.15,"4,061",1.99,"4,061",2.13,"4,061",1.96,"4,061",1.98,"24,368",2.01
   Property Insurance,"3,049",1.42,"3,049",1.61,"3,049",1.49,"3,049",1.6,"3,049",1.47,"3,049",1.49,"18,295",1.51
   Depreciation & Amortization,"1,157",0.54,"-1,157",-0.61,"1,157",0.57,"-1,157",-0.61,0,0,0,0,0,0
   Interest,0,0,0,0,"8,014",3.92,"13,541",7.11,"13,529",6.51,"13,907",6.79,"48,991",4.04
   Personal Property Taxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Replacement Tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Passthrough Tax Payments,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL Capital Costs,"80,636",37.51,"78,322",41.42,"88,650",43.35,"91,863",48.25,"93,008",44.78,"93,386",45.62,"525,864",43.41
Total Expenses,"725,172",337.29,"675,466",357.2,"729,417",356.68,"687,667",361.17,"756,463",364.21,"705,767",344.78,"4,279,954",353.31
,,,,,,,,,,,,,,
Net Income - (Loss),"120,900",56.23,"58,664",31.02,"82,180",40.19,"34,529",18.13,"5,915",2.85,"45,946",22.45,"348,134",28.74
