,Income Statement Trending Detail - GGM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1/1/2026 to 6/30/2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,
,Allure of Peru,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
TOTAL Employee Welfare Costs,"52,937",21.21,"50,202",21.93,"46,946",18.69,"36,044",14.79,"49,736",20.27,"54,783",23.4,"290,648",20
General & Administrative,,,,,,,,,,,,,,
   Payroll Administrative,"10,874",4.36,"12,153",5.31,"7,665",3.05,"6,379",2.62,"20,637",8.41,"7,327",3.13,"65,036",4.48
   Payroll Office,"10,518",4.21,"11,379",4.97,"12,582",5.01,"12,081",4.96,"12,484",5.09,"14,285",6.1,"73,329",5.05
   Payroll Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Marketing Consultant,850,0.34,850,0.37,"1,311",0.52,850,0.35,850,0.35,"1,302",0.56,"6,013",0.41
   General Insurance,"7,545",3.02,"6,474",2.83,"6,474",2.58,"6,474",2.66,"6,474",2.64,"6,474",2.77,"39,915",2.75
   Office Supplies,751,0.3,"1,068",0.47,774,0.31,827,0.34,"1,141",0.47,645,0.28,"5,205",0.36
   Office Rental Equipment,"2,173",0.87,"5,673",2.48,"1,147",0.46,"1,279",0.52,"1,193",0.49,"1,109",0.47,"12,573",0.87
   Contributions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Licensing Fee,0,0,0,0,0,0,368,0.15,0,0,0,0,368,0.03
   Telephone & Cable,"2,173",0.87,"2,173",0.95,"2,173",0.87,"2,170",0.89,"2,170",0.88,"2,170",0.93,"13,027",0.9
   Dues & Subscriptions,"1,207",0.48,"3,406",1.49,"5,168",2.06,"1,207",0.5,"1,455",0.59,"5,924",2.53,"18,365",1.26
   Auto & Travel,"1,895",0.76,"-3,544",-1.55,607,0.24,228,0.09,779,0.32,"2,094",0.89,"2,059",0.14
   Bank Charges,"1,631",0.65,"1,619",0.71,765,0.3,899,0.37,807,0.33,"2,657",1.14,"8,379",0.58
   Interest Charges,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Classified Ads,"1,276",0.51,740,0.32,736,0.29,"1,189",0.49,739,0.3,740,0.32,"5,420",0.37
   Management Fees,"45,636",18.28,"42,216",18.44,"45,596",18.15,"45,775",18.78,"46,646",19.01,"43,184",18.45,"269,053",18.52
   Accounting Fees,"13,457",5.39,"13,457",5.88,"12,911",5.14,"13,725",5.63,"13,642",5.56,"13,642",5.83,"80,835",5.56
   Legal Fees,"8,431",3.38,0,0,"1,043",0.42,"1,598",0.66,0,0,0,0,"11,071",0.76
   Professional Fees,"5,565",2.23,"6,496",2.84,"8,248",3.28,"5,926",2.43,"5,894",2.4,"4,949",2.11,"37,078",2.55
   IT Services,"11,890",4.76,"10,697",4.67,"11,982",4.77,"19,656",8.07,"3,149",1.28,"5,622",2.4,"62,996",4.34
   Covid-19 Technology Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Promotions,0,0,25,0.01,192,0.08,742,0.3,"13,347",5.44,"1,561",0.67,"15,868",1.09
   Penalties,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Assessment,"39,446",15.8,"38,394",16.77,"36,960",14.71,"39,850",16.35,"37,744",15.38,"33,914",14.49,"226,308",15.58
   Bad Debt,"17,897",7.17,"16,424",7.18,"16,435",6.54,"17,759",7.29,"17,656",7.19,"16,863",7.2,"103,034",7.09
TOTAL General & Administrative,"183,216",73.4,"169,700",74.14,"172,768",68.78,"178,981",73.44,"186,806",76.12,"164,462",70.25,"1,055,932",72.68
Capital Costs,,,,,,,,,,,,,,
   Rent,"54,545",21.85,"54,545",23.83,"54,545",21.71,"54,545",22.38,"54,545",22.23,"54,545",23.3,"327,270",22.53
   Real Estate Taxes,"4,574",1.83,"4,574",2,"4,574",1.82,"4,574",1.88,"4,574",1.86,"4,574",1.95,"27,447",1.89
   Property Insurance,"3,461",1.39,"3,461",1.51,"3,461",1.38,"3,461",1.42,"3,461",1.41,"3,461",1.48,"20,768",1.43
   Depreciation & Amortization,"3,355",1.34,"3,355",1.47,"3,355",1.34,"3,355",1.38,"3,355",1.37,"3,355",1.43,"20,128",1.39
   Interest,"7,147",2.86,"10,930",4.78,0,0,0,0,0,0,0,0,"18,077",1.24
   Personal Property Taxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Replacement Tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Passthrough Tax Payments,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL Capital Costs,"73,082",29.28,"76,866",33.58,"65,935",26.25,"65,935",27.06,"65,935",26.87,"65,935",28.17,"413,689",28.47
Total Expenses,"875,271",350.67,"813,319",355.32,"803,794",319.98,"819,584",336.31,"853,742",347.9,"874,385",373.51,"5,040,095",346.9
,,,,,,,,,,,,,,
Net Income - (Loss),"41,234",16.52,"29,975",13.1,"101,912",40.57,"92,331",37.89,"79,655",32.46,"-12,852",-5.49,"332,254",22.87
