,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allure of Peru,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
   DME Rental,"6,198",2.61,795,0.34,"3,020",1.23,"2,461",1.08,"1,323",0.62,"1,450",0.59,757,0.3,885,0.39,0,0,"3,618",1.48,"1,471",0.6,"1,812",0.77,"23,788",0.83
   Oxygen,"3,513",1.48,0,0,"1,218",0.49,"2,026",0.89,401,0.19,966,0.39,116,0.05,961,0.42,0,0,936,0.38,"1,339",0.55,"1,154",0.49,"12,630",0.44
   Ambulance Expense,106,0.04,"1,035",0.44,30,0.01,664,0.29,126,0.06,194,0.08,122,0.05,"1,631",0.71,325,0.13,15,0.01,161,0.07,15,0.01,"4,422",0.15
   Respiratory Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL Nursing & Medical,"348,318",146.66,"307,417",131.54,"359,100",145.86,"318,835",140.58,"315,529",147.1,"367,862",150.09,"367,200",147.12,"335,560",146.6,"341,575",135.98,"344,434",141.34,"359,365",146.44,"377,320",161.18,"4,142,515",145.01
Therapy & Ancillary Services,,,,,,,,,,,,,,,,,,,,,,,,,,
   Physical Therapy Services,"22,612",9.52,"22,122",9.47,"23,626",9.6,"22,170",9.78,"20,119",9.38,"24,973",10.19,"24,947",9.99,"21,526",9.4,"24,315",9.68,"23,680",9.72,"24,928",10.16,"22,472",9.6,"277,487",9.71
   Occupational Therapy Services,"19,961",8.4,"19,396",8.3,"19,165",7.78,"19,990",8.81,"17,380",8.1,"21,528",8.78,"22,385",8.97,"20,698",9.04,"21,100",8.4,"22,359",9.17,"24,571",10.01,"19,346",8.26,"247,879",8.68
   Speech Therapy Services,"4,217",1.78,"4,109",1.76,"3,235",1.31,"3,345",1.47,"2,008",0.94,"1,457",0.59,"4,184",1.68,"4,125",1.8,"4,788",1.91,"3,244",1.33,801,0.33,649,0.28,"36,162",1.27
   Pharmacy Consultant,"1,265",0.53,"1,340",0.57,"1,292",0.52,"1,384",0.61,700,0.33,700,0.29,"1,058",0.42,"1,246",0.54,"1,153",0.46,"1,333",0.55,"1,214",0.49,"1,240",0.53,"13,923",0.49
   RX Drugs,"5,755",2.42,"5,131",2.2,"3,564",1.45,"2,884",1.27,0,0,0,0,"8,881",3.56,"7,911",3.46,"4,996",1.99,"7,722",3.17,"9,455",3.85,"9,135",3.9,"65,436",2.29
   Drugs Managed Care,"6,057",2.55,"6,843",2.93,"5,215",2.12,"6,566",2.9,0,0,0,0,"6,882",2.76,"4,729",2.07,"1,515",0.6,"6,301",2.59,"4,394",1.79,"8,440",3.61,"56,944",1.99
   VA - Drugs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Radiology,216,0.09,433,0.19,760,0.31,378,0.17,245,0.11,880,0.36,816,0.33,"1,456",0.64,747,0.3,384,0.16,-81,-0.03,651,0.28,"6,885",0.24
   Laboratory,47,0.02,"1,753",0.75,"1,624",0.66,"1,454",0.64,605,0.28,40,0.02,348,0.14,"3,030",1.32,"3,411",1.36,"2,011",0.83,"1,459",0.59,187,0.08,"15,968",0.56
TOTAL Therapy & Ancillary Services,"60,131",25.32,"61,126",26.16,"58,481",23.75,"58,173",25.65,"41,056",19.14,"49,577",20.23,"69,501",27.84,"64,721",28.27,"62,024",24.69,"67,035",27.51,"66,741",27.2,"62,119",26.54,"720,684",25.23
Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Social Services,"5,970",2.51,"5,762",2.47,"6,067",2.46,"6,109",2.69,"5,845",2.73,"5,870",2.39,"6,150",2.46,"5,355",2.34,"5,950",2.37,"5,698",2.34,"5,941",2.42,"5,917",2.53,"70,635",2.47
   Payroll Admissions,0,0,"10,570",4.52,"4,636",1.88,"5,935",2.62,"5,935",2.77,"6,078",2.48,"7,720",3.09,"7,829",3.42,"7,883",3.14,"4,371",1.79,"3,988",1.62,"3,504",1.5,"68,449",2.4
   Social Service Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Social Service Consultant,770,0.32,0,0,770,0.31,840,0.37,0,0,"1,085",0.44,280,0.11,490,0.21,210,0.08,490,0.2,350,0.14,"1,015",0.43,"6,300",0.22
TOTAL Social Services,"6,740",2.84,"16,332",6.99,"11,472",4.66,"12,884",5.68,"11,780",5.49,"13,033",5.32,"14,150",5.67,"13,675",5.97,"14,043",5.59,"10,559",4.33,"10,279",4.19,"10,436",4.46,"145,383",5.09
Leisure Time & Activities,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Activity,"12,085",5.09,"12,009",5.14,"11,764",4.78,"11,970",5.28,"11,860",5.53,"12,702",5.18,"10,744",4.3,"8,629",3.77,"9,610",3.83,"9,296",3.81,"9,686",3.95,"9,544",4.08,"129,898",4.55
   Activity Supplies,936,0.39,"1,814",0.78,"1,211",0.49,"1,291",0.57,"1,284",0.6,"2,760",1.13,"1,785",0.72,809,0.35,"1,576",0.63,"1,595",0.65,"1,854",0.76,"2,629",1.12,"19,544",0.68
TOTAL Leisure Time & Activities,"13,021",5.48,"13,823",5.91,"12,975",5.27,"13,261",5.85,"13,144",6.13,"15,462",6.31,"12,528",5.02,"9,438",4.12,"11,186",4.45,"10,891",4.47,"11,540",4.7,"12,173",5.2,"149,442",5.23
House & Plant Costs,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Housekeeping,"11,976",5.04,"12,031",5.15,"10,548",4.28,"13,059",5.76,"15,390",7.17,"16,629",6.78,"16,568",6.64,"14,026",6.13,"12,961",5.16,"11,168",4.58,"12,531",5.11,"14,468",6.18,"161,354",5.65
   Payroll Laundry,"5,608",2.36,"5,467",2.34,"6,371",2.59,"5,931",2.62,"5,481",2.56,"5,645",2.3,"5,537",2.22,"6,363",2.78,"7,364",2.93,"7,589",3.11,"6,765",2.76,"6,453",2.76,"74,574",2.61
   Payroll Maintenance,"16,046",6.76,"-1,433",-0.61,"14,114",5.73,"11,113",4.9,"7,486",3.49,"9,129",3.72,"8,205",3.29,"7,679",3.35,"9,237",3.68,"8,245",3.38,"9,622",3.92,"9,181",3.92,"108,624",3.8
   Payroll Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Housekeeping Supplies,"1,315",0.55,"2,583",1.11,"1,501",0.61,"1,516",0.67,"1,519",0.71,"1,815",0.74,"1,683",0.67,"2,154",0.94,"1,538",0.61,"1,306",0.54,"1,244",0.51,"1,232",0.53,"19,405",0.68
   Covid-19 Housekeeping Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Laundry Supplies,356,0.15,608,0.26,457,0.19,0,0,321,0.15,368,0.15,52,0.02,788,0.34,404,0.16,740,0.3,395,0.16,377,0.16,"4,867",0.17
   Linen Replacement,464,0.2,156,0.07,"1,237",0.5,275,0.12,"1,028",0.48,896,0.37,351,0.14,263,0.11,261,0.1,424,0.17,310,0.13,148,0.06,"5,812",0.2
   Maintenance Supplies,"2,199",0.93,"2,526",1.08,"1,924",0.78,"3,238",1.43,"2,338",1.09,"1,423",0.58,537,0.22,818,0.36,583,0.23,"3,151",1.29,"2,549",1.04,966,0.41,"22,252",0.78
   Maintenance Services,"7,832",3.3,"12,358",5.29,"11,690",4.75,"14,930",6.58,"2,820",1.31,"115,691",47.2,"10,178",4.08,"12,482",5.45,"3,991",1.59,"11,494",4.72,"5,346",2.18,"29,255",12.5,"238,066",8.33
   Lawn & Snow Removal Services,0,0,"2,320",0.99,400,0.16,240,0.11,0,0,"3,570",1.46,0,0,775,0.34,605,0.24,0,0,760,0.31,"5,000",2.14,"13,670",0.48
   Scavenger,565,0.24,"2,716",1.16,"1,265",0.51,"2,419",1.07,"1,545",0.72,"1,005",0.41,"1,015",0.41,"1,111",0.49,-889,-0.35,"1,085",0.45,960,0.39,927,0.4,"13,724",0.48
   Exterminator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Electric & Gas,"3,497",1.47,"4,167",1.78,"8,260",3.35,"6,255",2.76,"3,454",1.61,"6,796",2.77,"1,916",0.77,"-2,827",-1.24,"1,691",0.67,"5,639",2.31,"8,686",3.54,"2,107",0.9,"49,640",1.74
   Water & Sewer,"2,737",1.15,"5,531",2.37,0,0,0,0,"3,543",1.65,"1,973",0.8,"3,087",1.24,"2,500",1.09,"2,301",0.92,"2,472",1.01,"9,299",3.79,"3,908",1.67,"37,351",1.31
TOTAL House & Plant Costs,"52,594",22.14,"49,029",20.98,"57,766",23.46,"58,976",26,"44,924",20.94,"164,941",67.3,"49,129",19.68,"46,133",20.15,"40,048",15.94,"53,313",21.88,"58,466",23.82,"74,021",31.62,"749,339",26.23
Food & Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Dietary,"27,171",11.44,"28,137",12.04,"27,808",11.29,"26,559",11.71,"23,191",10.81,"24,827",10.13,"27,373",10.97,"24,196",10.57,"26,793",10.67,"25,798",10.59,"26,988",11,"26,712",11.41,"315,553",11.05
   Food,"17,811",7.5,"27,496",11.77,"16,725",6.79,"19,302",8.51,"18,234",8.5,"17,889",7.3,"21,724",8.7,"18,741",8.19,"18,383",7.32,"21,239",8.72,"14,330",5.84,"20,887",8.92,"232,760",8.15
   Food Supplements,"1,749",0.74,"1,258",0.54,"1,558",0.63,"1,554",0.69,"1,811",0.84,"1,243",0.51,"1,522",0.61,"1,152",0.5,"2,044",0.81,"2,868",1.18,"1,628",0.66,"2,331",1,"20,720",0.73
   Dietary Supplies,"1,490",0.63,"1,973",0.84,"2,284",0.93,"1,537",0.68,"3,564",1.66,"1,739",0.71,"2,775",1.11,"2,799",1.22,"1,913",0.76,"2,317",0.95,"1,796",0.73,"3,071",1.31,"27,259",0.95
   Covid-19 Dietary Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Dietary Consultant,53,0.02,634,0.27,53,0.02,126,0.06,126,0.06,127,0.05,136,0.05,136,0.06,136,0.05,170,0.07,133,0.05,134,0.06,"1,962",0.07
TOTAL Food & Nutrition,"48,274",20.33,"59,498",25.46,"48,427",19.67,"49,078",21.64,"46,926",21.88,"45,826",18.7,"53,529",21.45,"47,025",20.54,"49,269",19.61,"52,392",21.5,"44,875",18.29,"53,135",22.7,"598,253",20.94
Employee Welfare Costs,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Taxes,"31,531",13.28,"29,560",12.65,"29,738",12.08,"25,028",11.04,"29,128",13.58,"32,183",13.13,"33,360",13.37,"29,234",12.77,"30,363",12.09,"29,332",12.04,"30,499",12.43,"29,954",12.8,"359,910",12.6
   Workmans Comp Insurance,"2,009",0.85,"2,033",0.87,"1,988",0.81,"2,442",1.08,"2,490",1.16,"6,748",2.75,"1,985",0.8,"1,985",0.87,"1,985",0.79,"1,985",0.81,"2,511",1.02,"2,005",0.86,"30,163",1.06
   Employee Benefits,161,0.07,695,0.3,435,0.18,"8,143",3.59,"4,568",2.13,894,0.36,"1,507",0.6,92,0.04,25,0.01,908,0.37,"6,179",2.52,"-4,664",-1.99,"18,944",0.66
   Employee Insurance,"13,951",5.87,"13,405",5.74,"14,323",5.82,"7,063",3.11,"12,788",5.96,"15,253",6.22,"14,306",5.73,"15,528",6.78,"11,064",4.4,"4,202",1.72,"12,509",5.1,"12,859",5.49,"147,254",5.15
