original_filename,operator,detail,dest_path,size_bytes
e3300a53-Tuscola_T12__Budget_10.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/e3300a53-Tuscola_T12__Budget_10.2025.xlsx,63849
e3e0e548-Bridgeport_T12__Budget_05.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/e3e0e548-Bridgeport_T12__Budget_05.2025.xlsx,41726
e52f7b46-Tuscola_T12__Budget_09.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/e52f7b46-Tuscola_T12__Budget_09.2025.xlsx,61659
e7498a44-Meadowbrook_T12__Budget_10.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/e7498a44-Meadowbrook_T12__Budget_10.2025.xlsx,62003
e7a154c8-04.30.26_Petersen_Financial_Statements_-_MTD_Only_NO_ADDBACKS.xls,Curis,Petersen Group consolidated statement,data/raw/curis/e7a154c8-04.30.26_Petersen_Financial_Statements_-_MTD_Only_NO_ADDBACKS.xls,91800
e7cca985-05.31.26_Petersen_Financial_Statements_-_MTD_Only_NO_ADDBACKS.xls,Curis,Petersen Group consolidated statement,data/raw/curis/e7cca985-05.31.26_Petersen_Financial_Statements_-_MTD_Only_NO_ADDBACKS.xls,97337
e7f66f80-Bridgeport_T12__Budget_12.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/e7f66f80-Bridgeport_T12__Budget_12.2025.xlsx,60187
e82b4d82-03.31.25_Financial_Statements_-_MTD_Only.xlsx,Curis,Petersen Group consolidated statement,data/raw/curis/e82b4d82-03.31.25_Financial_Statements_-_MTD_Only.xlsx,90817
e8e3aeb3-Arcola_T12__Budget_04.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/e8e3aeb3-Arcola_T12__Budget_04.2025.xlsx,47362
ec87b4f4-Arcola_T12__Budget_02.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/ec87b4f4-Arcola_T12__Budget_02.2026.xlsx,62608
edf520d6-Lincoln_Income_Statement__by_Facility_Preliminary_7.31.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/edf520d6-Lincoln_Income_Statement__by_Facility_Preliminary_7.31.25.xlsx,15337
ef055a6a-12.31.25_Petersen_Financial_Statements_-_MTD_Only.xls,Curis,Petersen Group consolidated statement,data/raw/curis/ef055a6a-12.31.25_Petersen_Financial_Statements_-_MTD_Only.xls,99507
f276c7f2-Tuscola_T12__Budget_05.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/f276c7f2-Tuscola_T12__Budget_05.2025.xlsx,65982
f2b36f77-St_Elmo_T12__Budget_03.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/f2b36f77-St_Elmo_T12__Budget_03.2026.xlsx,63506
f2f6b6c8-Lincoln_Income_Statement__by_Facility_Preliminary_8.31.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/f2f6b6c8-Lincoln_Income_Statement__by_Facility_Preliminary_8.31.25.xlsx,15173
f3bd2882-Tuscola_T12__Budget_01.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/f3bd2882-Tuscola_T12__Budget_01.2026.xlsx,63070
f40689dc-Petersen_PL_May26.xlsx,Evercare,Petersen 4-Pack by-tab workbook (Evercare),data/raw/evercare/f40689dc-Petersen_PL_May26.xlsx,59367
f57e5796-Farmer_City_T12__Budget_04.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/f57e5796-Farmer_City_T12__Budget_04.2025.xlsx,47097
f786fe35-Meadowbrook_T12__Budget_vs_Actual_01.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/f786fe35-Meadowbrook_T12__Budget_vs_Actual_01.2025.xlsx,38914
f9976939-Tuscola_T12__Budget_vs_Actual_01.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/f9976939-Tuscola_T12__Budget_vs_Actual_01.2025.xlsx,38415
fa086f22-Bement_T12__Budget_11.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/fa086f22-Bement_T12__Budget_11.2025.xlsx,61621
fa8f3156-02.28.25_Financial_Statements_-_MTD_Only.xlsx,Curis,Petersen Group consolidated statement,data/raw/curis/fa8f3156-02.28.25_Financial_Statements_-_MTD_Only.xlsx,93553
faee6fe2-Arcola_T12__Budget_vs_Actual_02.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/faee6fe2-Arcola_T12__Budget_vs_Actual_02.2025.xlsx,42248
fce47447-4_Pack_PL_12.25.xlsx,Evercare,Petersen 4-Pack by-tab workbook (Evercare),data/raw/evercare/fce47447-4_Pack_PL_12.25.xlsx,235982
fd42188b-Lincoln_Income_Statement__by_Facility_Preliminary_2.28.26.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/fd42188b-Lincoln_Income_Statement__by_Facility_Preliminary_2.28.26.xlsx,15396
fe2a8f46-Arcola_T12__Budget_10.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/fe2a8f46-Arcola_T12__Budget_10.2025.xlsx,62032
